
The following have been reloaded with a version change:
  1) CUDA/9.1.85-GCC-6.4.0-2.28 => CUDA/9.1.85

Modules loaded

Currently Loaded Modules:
  1) GCCcore/6.4.0
  2) binutils/2.28-GCCcore-6.4.0
  3) GCC/6.4.0-2.28
  4) gcccuda/2018a
  5) numactl/2.0.11-GCCcore-6.4.0
  6) zlib/1.2.11-GCCcore-6.4.0
  7) XZ/5.2.3-GCCcore-6.4.0
  8) libxml2/2.9.7-GCCcore-6.4.0
  9) libpciaccess/0.14-GCCcore-6.4.0
 10) hwloc/1.11.8-GCCcore-6.4.0
 11) OpenMPI/2.1.2-gcccuda-2018a
 12) OpenBLAS/0.2.20-GCC-6.4.0-2.28
 13) gompic/2018a
 14) FFTW/3.3.7-gompic-2018a
 15) ScaLAPACK/2.0.2-gompic-2018a-OpenBLAS-0.2.20
 16) fosscuda/2018a
 17) bzip2/1.0.6-GCCcore-6.4.0
 18) ncurses/6.0-GCCcore-6.4.0
 19) libreadline/7.0-GCCcore-6.4.0
 20) Tcl/8.6.8-GCCcore-6.4.0
 21) SQLite/3.21.0-GCCcore-6.4.0
 22) GMP/6.1.2-GCCcore-6.4.0
 23) libffi/3.2.1-GCCcore-6.4.0
 24) Python/3.6.4-fosscuda-2018a
 25) CUDA/9.1.85

 

Creating venv
Requirement already up-to-date: pip in ./venv/lib/python3.6/site-packages (19.3.1)
Requirement already up-to-date: setuptools in ./venv/lib/python3.6/site-packages (41.6.0)
Requirement already satisfied: cycler==0.10.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 1)) (0.10.0)
Requirement already satisfied: decorator==4.4.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 2)) (4.4.1)
Requirement already satisfied: imageio==2.6.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 3)) (2.6.1)
Requirement already satisfied: kiwisolver==1.1.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 4)) (1.1.0)
Requirement already satisfied: matplotlib==3.1.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 5)) (3.1.1)
Requirement already satisfied: networkx==2.4 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 6)) (2.4)
Requirement already satisfied: numpy==1.17.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 7)) (1.17.3)
Requirement already satisfied: pandas==0.25.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 8)) (0.25.3)
Requirement already satisfied: Pillow==6.2.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 9)) (6.2.1)
Requirement already satisfied: pyparsing==2.4.4 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 10)) (2.4.4)
Requirement already satisfied: python-dateutil==2.8.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 11)) (2.8.1)
Requirement already satisfied: pytz==2019.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 12)) (2019.3)
Requirement already satisfied: PyWavelets==1.1.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 13)) (1.1.1)
Requirement already satisfied: scikit-image==0.16.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 14)) (0.16.2)
Requirement already satisfied: scipy==1.3.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 15)) (1.3.2)
Requirement already satisfied: six==1.13.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 16)) (1.13.0)
Requirement already satisfied: torch==1.3.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 17)) (1.3.1)
Requirement already satisfied: torchvision==0.4.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 18)) (0.4.2)
Requirement already satisfied: setuptools in ./venv/lib/python3.6/site-packages (from kiwisolver==1.1.0->-r requirements.txt (line 4)) (41.6.0)
Starting execution
Starting Training
Epoch 1/200, time elapsed: 64.96s, training loss: 16345.549366344105, validation loss: 99599.7578125 -- validation accuracy: 0.38357919454574585, test accuracy: 0.3799273669719696
Epoch 121/200, time elapsed: 5302.48s, training loss: 255.4922138560902, validation loss: 323.9551696777344 -- validation accuracy: 0.9195852875709534, test accuracy: 0.9158263206481934
Epoch 122/200, time elapsed: 5345.06s, training loss: 255.4200300736861, validation loss: 339.07171630859375 -- validation accuracy: 0.9177740216255188, test accuracy: 0.9158263206481934
Epoch 123/200, time elapsed: 5387.90s, training loss: 251.9360254461115, validation loss: 352.76397705078125 -- validation accuracy: 0.9152826070785522, test accuracy: 0.9158263206481934
Epoch 124/200, time elapsed: 5430.92s, training loss: 261.6922644412879, validation loss: 372.23944091796875 -- validation accuracy: 0.9120513200759888, test accuracy: 0.9158263206481934
Epoch 125/200, time elapsed: 5474.09s, training loss: 257.64886474609375, validation loss: 333.03741455078125 -- validation accuracy: 0.9183219075202942, test accuracy: 0.9158263206481934
Epoch 126/200, time elapsed: 5517.21s, training loss: 255.6989861690637, validation loss: 336.74468994140625 -- validation accuracy: 0.9171801805496216, test accuracy: 0.9158263206481934
Epoch 127/200, time elapsed: 5560.27s, training loss: 257.9607016823509, validation loss: 342.4130554199219 -- validation accuracy: 0.9137420654296875, test accuracy: 0.9158263206481934
Epoch 128/200, time elapsed: 5603.27s, training loss: 255.19947629986387, validation loss: 319.079833984375 -- validation accuracy: 0.9190695285797119, test accuracy: 0.9158263206481934
Epoch 129/200, time elapsed: 5646.19s, training loss: 256.5665283203125, validation loss: 334.7513427734375 -- validation accuracy: 0.9181852340698242, test accuracy: 0.9158263206481934
Epoch 130/200, time elapsed: 5689.25s, training loss: 254.57605997721353, validation loss: 318.48175048828125 -- validation accuracy: 0.9181049466133118, test accuracy: 0.9158263206481934
Epoch 131/200, time elapsed: 5732.31s, training loss: 255.01764794551966, validation loss: 325.33148193359375 -- validation accuracy: 0.9177694916725159, test accuracy: 0.9158263206481934
Epoch 132/200, time elapsed: 5775.43s, training loss: 258.89846894235325, validation loss: 338.38623046875 -- validation accuracy: 0.9182839393615723, test accuracy: 0.9158263206481934
Epoch 133/200, time elapsed: 5818.50s, training loss: 256.6899298465613, validation loss: 352.2629089355469 -- validation accuracy: 0.9147419333457947, test accuracy: 0.9158263206481934
Epoch 134/200, time elapsed: 5861.59s, training loss: 256.800410415187, validation loss: 381.2289123535156 -- validation accuracy: 0.9078595042228699, test accuracy: 0.9158263206481934
Epoch 135/200, time elapsed: 5910.54s, training loss: 264.1257167006984, validation loss: 331.111328125 -- validation accuracy: 0.9200616478919983, test accuracy: 0.9160730838775635
Epoch 136/200, time elapsed: 5953.40s, training loss: 255.54358141350025, validation loss: 323.75201416015625 -- validation accuracy: 0.9198101162910461, test accuracy: 0.9160730838775635
Epoch 137/200, time elapsed: 5996.46s, training loss: 254.72319215716738, validation loss: 349.5523986816406 -- validation accuracy: 0.9153590202331543, test accuracy: 0.9160730838775635
Epoch 138/200, time elapsed: 6039.41s, training loss: 262.114433519768, validation loss: 325.17572021484375 -- validation accuracy: 0.9198619723320007, test accuracy: 0.9160730838775635
Epoch 139/200, time elapsed: 6082.01s, training loss: 254.56459322842684, validation loss: 333.0848388671875 -- validation accuracy: 0.9196616411209106, test accuracy: 0.9160730838775635
Epoch 140/200, time elapsed: 6124.96s, training loss: 252.08888891971472, validation loss: 350.55523681640625 -- validation accuracy: 0.9148815274238586, test accuracy: 0.9160730838775635
Epoch 141/200, time elapsed: 6173.90s, training loss: 255.33410413337475, validation loss: 325.0050048828125 -- validation accuracy: 0.9203168153762817, test accuracy: 0.914343535900116
Epoch 142/200, time elapsed: 6217.16s, training loss: 253.67646142208216, validation loss: 379.8787536621094 -- validation accuracy: 0.9107776284217834, test accuracy: 0.914343535900116
Epoch 143/200, time elapsed: 6260.17s, training loss: 263.2449881813743, validation loss: 337.2937316894531 -- validation accuracy: 0.9188724756240845, test accuracy: 0.914343535900116
Epoch 144/200, time elapsed: 6303.33s, training loss: 259.4696132775509, validation loss: 359.2190246582031 -- validation accuracy: 0.9131494164466858, test accuracy: 0.914343535900116
Epoch 145/200, time elapsed: 6346.40s, training loss: 254.92068805116597, validation loss: 327.33648681640625 -- validation accuracy: 0.9199639558792114, test accuracy: 0.914343535900116
Epoch 146/200, time elapsed: 6389.36s, training loss: 250.0866162849195, validation loss: 333.36328125 -- validation accuracy: 0.9194514751434326, test accuracy: 0.914343535900116
Epoch 147/200, time elapsed: 6432.28s, training loss: 253.53096424449575, validation loss: 332.59466552734375 -- validation accuracy: 0.9193333387374878, test accuracy: 0.914343535900116
Epoch 148/200, time elapsed: 6475.23s, training loss: 255.17684844045928, validation loss: 341.2463073730469 -- validation accuracy: 0.9174920320510864, test accuracy: 0.914343535900116
Epoch 149/200, time elapsed: 6524.07s, training loss: 260.4154413396662, validation loss: 329.42901611328125 -- validation accuracy: 0.9204568862915039, test accuracy: 0.915701150894165
Epoch 150/200, time elapsed: 6567.07s, training loss: 251.97553877397016, validation loss: 329.3125 -- validation accuracy: 0.9187785387039185, test accuracy: 0.915701150894165
Epoch 151/200, time elapsed: 6610.11s, training loss: 254.24122295957622, validation loss: 334.3320617675781 -- validation accuracy: 0.9172195196151733, test accuracy: 0.915701150894165
Epoch 152/200, time elapsed: 6652.63s, training loss: 250.94442147919625, validation loss: 328.3617248535156 -- validation accuracy: 0.9196025133132935, test accuracy: 0.915701150894165
Epoch 153/200, time elapsed: 6695.78s, training loss: 251.5310368393407, validation loss: 333.5298767089844 -- validation accuracy: 0.9182878732681274, test accuracy: 0.915701150894165
Epoch 154/200, time elapsed: 6738.80s, training loss: 248.07304567279238, validation loss: 338.4121398925781 -- validation accuracy: 0.9175268411636353, test accuracy: 0.915701150894165
Epoch 155/200, time elapsed: 6781.83s, training loss: 252.4772177031546, validation loss: 341.09222412109375 -- validation accuracy: 0.9165509343147278, test accuracy: 0.915701150894165
Epoch 156/200, time elapsed: 6824.71s, training loss: 247.6903751257694, validation loss: 324.8946228027344 -- validation accuracy: 0.9200646281242371, test accuracy: 0.915701150894165
Epoch 157/200, time elapsed: 6867.73s, training loss: 253.61724159934303, validation loss: 349.1905517578125 -- validation accuracy: 0.9158469438552856, test accuracy: 0.915701150894165
Epoch 158/200, time elapsed: 6910.70s, training loss: 251.9068585020123, validation loss: 327.4031982421875 -- validation accuracy: 0.9198808670043945, test accuracy: 0.915701150894165
Epoch 159/200, time elapsed: 6953.68s, training loss: 260.612455888228, validation loss: 334.4666748046875 -- validation accuracy: 0.9197462201118469, test accuracy: 0.915701150894165
Epoch 160/200, time elapsed: 7002.56s, training loss: 253.77692343971947, validation loss: 325.2310791015625 -- validation accuracy: 0.9208365082740784, test accuracy: 0.9166716933250427
Epoch 161/200, time elapsed: 7045.50s, training loss: 247.81793813994437, validation loss: 341.850341796875 -- validation accuracy: 0.9176254272460938, test accuracy: 0.9166716933250427
Epoch 162/200, time elapsed: 7088.47s, training loss: 257.5907241358901, validation loss: 353.6927185058594 -- validation accuracy: 0.9157504439353943, test accuracy: 0.9166716933250427
Epoch 163/200, time elapsed: 7131.39s, training loss: 257.2061397668087, validation loss: 334.51312255859375 -- validation accuracy: 0.9175484776496887, test accuracy: 0.9166716933250427
Epoch 164/200, time elapsed: 7174.29s, training loss: 258.7489707253196, validation loss: 331.8651428222656 -- validation accuracy: 0.9189740419387817, test accuracy: 0.9166716933250427
Epoch 165/200, time elapsed: 7217.24s, training loss: 250.71204306862572, validation loss: 337.95050048828125 -- validation accuracy: 0.9178338646888733, test accuracy: 0.9166716933250427
Epoch 166/200, time elapsed: 7260.28s, training loss: 254.69768778483072, validation loss: 376.36480712890625 -- validation accuracy: 0.9107018709182739, test accuracy: 0.9166716933250427
Epoch 167/200, time elapsed: 7303.21s, training loss: 254.5228165135239, validation loss: 360.3868713378906 -- validation accuracy: 0.9118965864181519, test accuracy: 0.9166716933250427
Epoch 168/200, time elapsed: 7346.26s, training loss: 254.39677706631747, validation loss: 337.1960144042969 -- validation accuracy: 0.9184570908546448, test accuracy: 0.9166716933250427
Epoch 169/200, time elapsed: 7389.21s, training loss: 258.54315370501894, validation loss: 334.190185546875 -- validation accuracy: 0.9196116924285889, test accuracy: 0.9166716933250427
Epoch 170/200, time elapsed: 7432.09s, training loss: 251.04293961958453, validation loss: 357.4197692871094 -- validation accuracy: 0.9136711359024048, test accuracy: 0.9166716933250427
Epoch 171/200, time elapsed: 7474.96s, training loss: 249.556289210464, validation loss: 331.95428466796875 -- validation accuracy: 0.9190250635147095, test accuracy: 0.9166716933250427
Epoch 172/200, time elapsed: 7517.94s, training loss: 251.9571884617661, validation loss: 335.4714660644531 -- validation accuracy: 0.9166563749313354, test accuracy: 0.9166716933250427
Epoch 173/200, time elapsed: 7560.93s, training loss: 251.2561377323035, validation loss: 328.0957336425781 -- validation accuracy: 0.9195175170898438, test accuracy: 0.9166716933250427
Epoch 174/200, time elapsed: 7603.87s, training loss: 250.52738212816644, validation loss: 348.8542175292969 -- validation accuracy: 0.9162238836288452, test accuracy: 0.9166716933250427
Epoch 175/200, time elapsed: 7646.97s, training loss: 251.35381895123106, validation loss: 334.8154296875 -- validation accuracy: 0.9179027080535889, test accuracy: 0.9166716933250427
Epoch 176/200, time elapsed: 7689.87s, training loss: 253.79886789032906, validation loss: 343.3981018066406 -- validation accuracy: 0.91636061668396, test accuracy: 0.9166716933250427
Epoch 177/200, time elapsed: 7732.89s, training loss: 256.77600513805044, validation loss: 333.8250732421875 -- validation accuracy: 0.9184548258781433, test accuracy: 0.9166716933250427
Epoch 178/200, time elapsed: 7775.97s, training loss: 256.8154167406487, validation loss: 367.5396423339844 -- validation accuracy: 0.9131515026092529, test accuracy: 0.9166716933250427
Epoch 179/200, time elapsed: 7826.44s, training loss: 248.86177479137075, validation loss: 359.2356262207031 -- validation accuracy: 0.9137200713157654, test accuracy: 0.9166716933250427
Epoch 180/200, time elapsed: 7869.48s, training loss: 252.7445262562145, validation loss: 330.09033203125 -- validation accuracy: 0.9192717671394348, test accuracy: 0.9166716933250427
Epoch 181/200, time elapsed: 7918.56s, training loss: 249.3038223728989, validation loss: 319.62359619140625 -- validation accuracy: 0.9209539294242859, test accuracy: 0.9154970645904541
Epoch 182/200, time elapsed: 7961.60s, training loss: 251.9813116824988, validation loss: 327.9023742675781 -- validation accuracy: 0.9203070402145386, test accuracy: 0.9154970645904541
Epoch 183/200, time elapsed: 8004.85s, training loss: 250.02114405776516, validation loss: 333.3306579589844 -- validation accuracy: 0.918080747127533, test accuracy: 0.9154970645904541
Epoch 184/200, time elapsed: 8047.97s, training loss: 250.56967348040956, validation loss: 331.6583557128906 -- validation accuracy: 0.9196317195892334, test accuracy: 0.9154970645904541
Epoch 185/200, time elapsed: 8090.77s, training loss: 256.77602317116475, validation loss: 350.2509765625 -- validation accuracy: 0.9148676991462708, test accuracy: 0.9154970645904541
Epoch 186/200, time elapsed: 8133.19s, training loss: 255.4915900952888, validation loss: 319.7718200683594 -- validation accuracy: 0.920762300491333, test accuracy: 0.9154970645904541
Epoch 187/200, time elapsed: 8176.28s, training loss: 255.3714345296224, validation loss: 335.8050231933594 -- validation accuracy: 0.918938159942627, test accuracy: 0.9154970645904541
Epoch 188/200, time elapsed: 8219.30s, training loss: 250.59186669551966, validation loss: 335.231201171875 -- validation accuracy: 0.9182901978492737, test accuracy: 0.9154970645904541
Epoch 189/200, time elapsed: 8262.31s, training loss: 252.95059342817828, validation loss: 322.874755859375 -- validation accuracy: 0.9190047979354858, test accuracy: 0.9154970645904541
Epoch 190/200, time elapsed: 8305.33s, training loss: 249.5499882553563, validation loss: 350.9409484863281 -- validation accuracy: 0.9148622751235962, test accuracy: 0.9154970645904541
Epoch 191/200, time elapsed: 8354.30s, training loss: 249.0598819617069, validation loss: 313.383544921875 -- validation accuracy: 0.9210562705993652, test accuracy: 0.9159809350967407
Epoch 192/200, time elapsed: 8397.40s, training loss: 261.11729061242306, validation loss: 337.59649658203125 -- validation accuracy: 0.9177367091178894, test accuracy: 0.9159809350967407
Epoch 193/200, time elapsed: 8440.62s, training loss: 249.4842284231475, validation loss: 332.47894287109375 -- validation accuracy: 0.919459342956543, test accuracy: 0.9159809350967407
Epoch 194/200, time elapsed: 8483.46s, training loss: 256.0459294174657, validation loss: 363.8731689453125 -- validation accuracy: 0.9125591516494751, test accuracy: 0.9159809350967407
Epoch 195/200, time elapsed: 8532.04s, training loss: 253.6476426558061, validation loss: 320.6324768066406 -- validation accuracy: 0.9215199947357178, test accuracy: 0.9162823557853699
Epoch 196/200, time elapsed: 8575.06s, training loss: 256.6334210020123, validation loss: 336.7588195800781 -- validation accuracy: 0.9186429977416992, test accuracy: 0.9162823557853699
Epoch 197/200, time elapsed: 8618.19s, training loss: 251.70280918930516, validation loss: 339.29595947265625 -- validation accuracy: 0.9184531569480896, test accuracy: 0.9162823557853699
Epoch 198/200, time elapsed: 8661.18s, training loss: 258.91783280806106, validation loss: 325.3094177246094 -- validation accuracy: 0.9208046793937683, test accuracy: 0.9162823557853699
Epoch 199/200, time elapsed: 8704.33s, training loss: 247.32354828805634, validation loss: 329.5257568359375 -- validation accuracy: 0.9197474122047424, test accuracy: 0.9162823557853699
Epoch 200/200, time elapsed: 8747.00s, training loss: 257.06643630519056, validation loss: 337.4461364746094 -- validation accuracy: 0.9184340238571167, test accuracy: 0.9162823557853699
Total training time: 8747.00s
Bye


###############################################################################
Peregrine Cluster
Job 8348306 for user 's3736555'
Finished at: Sun Nov 10 21:30:36 CET 2019

Job details:
============

Name                : train_network
User                : s3736555
Partition           : gpu
Nodes               : pg-gpu28
Cores               : 12
State               : COMPLETED
Submit              : 2019-11-10T19:02:46
Start               : 2019-11-10T19:03:15
End                 : 2019-11-10T21:30:36
Reserved walltime   : 23:55:00
Used walltime       : 02:27:21
Used CPU time       : 07:29:47 (efficiency: 25.44%)
% User (Computation): 69.47%
% System (I/O)      : 30.52%
Mem reserved        : 100G/node
Max Mem used        : 7.77G (pg-gpu28)
Max Disk Write      : 1.92M (pg-gpu28)
Max Disk Read       : 29.59M (pg-gpu28)


Acknowledgements:
=================

Please see this page if you want to acknowledge Peregrine in your publications:

https://redmine.hpc.rug.nl/redmine/projects/peregrine/wiki/ScientificOutput

################################################################################
